Item Code;Item Name;set/20;out/20;nov/20;dez/20;jan/21;fev/21;mar/21;abr/21;mai/21;jun/21;jul/21;ago/21;set/21;out/21;nov/21;dez/21;jan/22;fev/22;mar/22;abr/22;mai/22;jun/22;jul/22;ago/22;set/22
500325;item 338; $1.800 ; $1.800 ; $11.200 ; $675.800 ; $66.200 ; $15.600 ; $11.600 ; $2.000 ; $4.000 ; $3.800 ; $4.000 ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   
500331;item 339; $1.800 ; $1.800 ; $11.800 ; $595.400 ; $64.600 ; $6.800 ; $6.000 ; $800 ; $2.000 ; $3.600 ; $4.200 ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   
500279;item 340; $15.000 ; $15.000 ; $24.000 ; $14.000 ; $22.200 ; $18.800 ; $17.600 ; $13.600 ; $4.400 ; $4.400 ; $2.200 ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   
500205;item 341; $1.800 ; $1.800 ; $11.200 ; $594.000 ; $65.400 ; $10.400 ; $6.400 ; $2.000 ; $2.000 ; $2.400 ; $3.400 ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   
500432;item 342; $-   ; $-   ; $-   ; $-   ; $-   ; $540.800 ; $16.800 ; $7.400 ; $4.400 ; $5.600 ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   
500289;item 343; $6.400 ; $6.400 ; $4.200 ; $2.400 ; $3.200 ; $6.200 ; $4.200 ; $1.600 ; $3.000 ; $3.400 ; $1.800 ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   
500333;item 344; $384.800 ; $384.800 ; $374.000 ; $17.200 ; $95.000 ; $115.800 ; $8.400 ; $6.400 ; $7.200 ; $2.600 ; $2.600 ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   
500270;item 345; $13.600 ; $13.600 ; $10.000 ; $6.400 ; $5.600 ; $11.400 ; $5.600 ; $2.000 ; $2.200 ; $2.600 ; $2.400 ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   
500297;item 346; $2.200 ; $2.200 ; $2.000 ; $2.800 ; $1.600 ; $15.600 ; $4.000 ; $400 ; $2.200 ; $3.200 ; $1.800 ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   
500322;item 347; $1.800 ; $1.800 ; $11.200 ; $588.800 ; $64.800 ; $4.800 ; $4.600 ; $1.600 ; $2.600 ; $2.600 ; $2.400 ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   
500341;item 348; $183.000 ; $183.000 ; $342.600 ; $23.000 ; $71.000 ; $77.600 ; $7.200 ; $6.200 ; $4.800 ; $1.600 ; $3.000 ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   
500342;item 349; $385.400 ; $385.400 ; $374.600 ; $17.600 ; $104.800 ; $115.200 ; $7.000 ; $6.800 ; $5.000 ; $2.400 ; $2.200 ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   
500029;item 350; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $14.400 ; $4.200 ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   
500136;item 351; $5.200 ; $5.200 ; $5.000 ; $2.200 ; $3.800 ; $9.000 ; $5.200 ; $800 ; $2.400 ; $1.800 ; $2.200 ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   
500300;item 352; $4.600 ; $4.600 ; $2.000 ; $2.600 ; $1.600 ; $7.200 ; $5.600 ; $800 ; $12.000 ; $2.200 ; $1.800 ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   
500291;item 353; $5.600 ; $5.600 ; $5.000 ; $3.000 ; $2.000 ; $3.200 ; $2.400 ; $1.000 ; $-   ; $2.400 ; $1.400 ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   
500292;item 354; $4.600 ; $4.600 ; $3.400 ; $5.400 ; $2.600 ; $3.400 ; $2.000 ; $2.200 ; $2.800 ; $2.200 ; $1.600 ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   
500287;item 355; $8.800 ; $8.800 ; $7.400 ; $3.600 ; $3.000 ; $3.800 ; $3.600 ; $1.000 ; $600 ; $2.200 ; $1.400 ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   
500290;item 356; $5.600 ; $5.600 ; $4.800 ; $1.400 ; $1.000 ; $3.200 ; $4.200 ; $1.800 ; $800 ; $1.400 ; $1.800 ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   
500431;item 357; $-   ; $-   ; $-   ; $-   ; $-   ; $540.800 ; $17.000 ; $6.000 ; $8.600 ; $3.100 ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   
500203;item 358; $3.600 ; $3.600 ; $1.800 ; $1.000 ; $600 ; $7.600 ; $2.200 ; $1.400 ; $1.000 ; $2.000 ; $1.000 ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   
500286;item 359; $3.000 ; $3.000 ; $3.200 ; $1.600 ; $1.200 ; $3.200 ; $2.800 ; $400 ; $800 ; $1.000 ; $800 ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   
500153;item 360; $1.000 ; $1.000 ; $2.800 ; $200 ; $400 ; $5.600 ; $200 ; $1.200 ; $1.600 ; $400 ; $1.200 ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   
500413;item 361; $3.400 ; $3.400 ; $9.600 ; $12.600 ; $4.800 ; $21.600 ; $14.400 ; $8.600 ; $1.200 ; $1.200 ; $400 ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   
500090;item 362; $-   ; $-   ; $11.800 ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $1.200 ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   
500092;item 363; $31.000 ; $31.000 ; $171.000 ; $3.400 ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $1.200 ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   
500103;item 364; $-   ; $-   ; $6.400 ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $1.000 ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   
500543;item 365; $1.400 ; $1.400 ; $2.000 ; $1.400 ; $800 ; $1.400 ; $-   ; $1.200 ; $600 ; $200 ; $800 ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   
500547;item 366; $-   ; $-   ; $800 ; $2.400 ; $-   ; $400 ; $-   ; $-   ; $-   ; $-   ; $1.000 ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   
500099;item 367; $17.800 ; $17.800 ; $15.000 ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $800 ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   
500087;item 368; $7.000 ; $7.000 ; $5.800 ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $600 ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   
500191;item 369; $7.600 ; $7.600 ; $3.400 ; $2.800 ; $2.800 ; $1.200 ; $200 ; $4.200 ; $4.200 ; $600 ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   
500207;item 370; $400 ; $400 ; $1.200 ; $200 ; $200 ; $5.400 ; $-   ; $600 ; $400 ; $200 ; $400 ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   
500232;item 371; $29.600 ; $29.600 ; $12.400 ; $2.000 ; $2.000 ; $1.600 ; $800 ; $400 ; $200 ; $600 ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   
500233;item 372; $29.600 ; $29.600 ; $12.400 ; $2.000 ; $2.000 ; $1.600 ; $800 ; $400 ; $200 ; $600 ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   
500336;item 373; $14.800 ; $14.800 ; $18.800 ; $12.400 ; $24.200 ; $-   ; $-   ; $-   ; $-   ; $-   ; $600 ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   
500442;item 374; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $260.000 ; $230.000 ; $600 ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   
500536;item 375; $-   ; $-   ; $-   ; $400 ; $200 ; $-   ; $-   ; $-   ; $-   ; $-   ; $600 ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   
500112;item 376; $-   ; $-   ; $600 ; $200 ; $200 ; $400 ; $-   ; $-   ; $600 ; $200 ; $200 ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   
500116;item 377; $-   ; $-   ; $400 ; $400 ; $-   ; $400 ; $-   ; $400 ; $1.000 ; $-   ; $400 ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   
500156;item 378; $-   ; $-   ; $4.600 ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $400 ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   
500226;item 379; $18.600 ; $18.600 ; $5.400 ; $1.600 ; $1.200 ; $1.200 ; $200 ; $600 ; $1.200 ; $400 ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   
500227;item 380; $18.600 ; $18.600 ; $5.400 ; $1.600 ; $1.200 ; $1.200 ; $200 ; $600 ; $1.200 ; $400 ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   
500228;item 381; $-   ; $-   ; $1.400 ; $1.800 ; $1.200 ; $400 ; $-   ; $800 ; $800 ; $-   ; $400 ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   
500229;item 382; $-   ; $-   ; $1.400 ; $1.800 ; $1.200 ; $400 ; $-   ; $800 ; $800 ; $-   ; $400 ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   
500338;item 383; $8.800 ; $8.800 ; $20.000 ; $12.200 ; $18.200 ; $400 ; $-   ; $400 ; $-   ; $200 ; $200 ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   
